Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
1999-12-31,New Year's Day,New Year's Day,US,False,True,,Public,
2000-01-17,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,False,True,,Public,
2000-02-21,Presidents Day,Washington's Birthday,US,False,True,,Public,
2000-04-21,Good Friday,Good Friday,US,False,False,,Public,"US-CT,US-DE,US-HI,US-IN,US-KY,US-LA,US-NC,US-ND,US-NJ,US-TN"
2000-04-21,Good Friday,Good Friday,US,False,False,,Optional,US-TX
2000-05-29,Memorial Day,Memorial Day,US,False,True,,Public,
2000-07-04,Independence Day,Independence Day,US,False,True,,Public,
2000-09-04,Labor Day,Labour Day,US,False,True,,Public,
2000-10-09,Columbus Day,Columbus Day,US,False,False,,Public,"US-AL,US-AZ,US-CO,US-CT,US-GA,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MS,US-MO,US-MT,US-NE,US-NH,US-NJ,US-NM,US-NY,US-NC,US-OH,US-OK,US-PA,US-RI,US-SC,US-TN,US-UT,US-VA,US-WV"
2000-11-10,Veterans Day,Veterans Day,US,False,True,,Public,
2000-11-23,Thanksgiving Day,Thanksgiving Day,US,False,True,1863,Public,
2000-12-25,Christmas Day,Christmas Day,US,False,True,,Public,
